Name,"I-AUROC,","I-AP,","I-F1max,","P-AUROC,","P-AP,","P-F1max,","P-AUPRO,","I-Overkill@2,","I-Overkill@5,","I-Overkill@10,","S-AUROC,","S-AP,","S-F1max,","S-Overkill@2,","S-Overkill@5,",S-Overkill@10
battery_holder_connector,83.3 ± 2.8,97.2 ± 0.6,94.4 ± 0.1,86.1 ± 0.4,33.2 ± 2.7,33.3 ± 3.1,73.4 ± 0.6,75.5 ± 3.1,61.8 ± 2.9,48.1 ± 5.5,91.2 ± 4.8,98.7 ± 0.8,96.7 ± 0.5,44.0 ± 6.9,34.7 ± 8.3,26.7 ± 8.3
battery_socket_connector,67.5 ± 1.2,92.9 ± 0.3,92.4 ± 0.3,87.9 ± 0.1,41.7 ± 0.9,42.4 ± 0.6,57.4 ± 1.0,93.1 ± 3.0,87.5 ± 3.1,77.7 ± 2.8,86.5 ± 2.1,98.2 ± 0.3,94.3 ± 0.3,85.3 ± 4.6,74.7 ± 12.2,52.0 ± 10.6
bend_connector,85.1 ± 0.8,97.5 ± 0.2,93.5 ± 0.2,90.9 ± 0.3,39.8 ± 1.6,41.6 ± 1.9,67.5 ± 0.3,83.1 ± 2.4,66.0 ± 3.5,51.6 ± 8.7,94.7 ± 1.7,99.2 ± 0.3,97.1 ± 0.6,38.7 ± 10.1,22.7 ± 6.1,14.7 ± 4.6
blade_switch,84.8 ± 2.1,97.3 ± 0.3,95.7 ± 0.4,94.8 ± 0.2,51.5 ± 0.8,52.1 ± 1.6,73.9 ± 0.6,60.0 ± 5.0,46.1 ± 6.7,36.3 ± 6.0,85.3 ± 2.0,97.5 ± 0.3,96.4 ± 1.1,46.7 ± 14.0,37.3 ± 10.1,26.7 ± 4.6
blue_light_switch,68.8 ± 2.0,91.5 ± 0.3,92.7 ± 0.1,83.6 ± 0.1,15.4 ± 0.4,28.1 ± 0.3,64.6 ± 0.2,91.1 ± 2.6,82.0 ± 2.5,66.9 ± 2.0,61.3 ± 1.4,91.2 ± 0.6,94.6 ± 0.3,85.3 ± 4.6,82.7 ± 4.6,73.3 ± 4.6
bluetooth_module,84.7 ± 1.6,97.7 ± 0.4,95.2 ± 0.2,93.1 ± 0.6,62.2 ± 2.4,57.8 ± 1.7,75.2 ± 3.2,66.7 ± 2.3,57.3 ± 5.8,46.7 ± 3.8,87.1 ± 3.9,98.2 ± 0.7,95.4 ± 0.6,65.3 ± 9.2,60.0 ± 4.0,49.3 ± 2.3
boost_converter_module,71.7 ± 2.9,93.2 ± 0.6,91.2 ± 0.1,92.2 ± 0.3,60.1 ± 1.0,57.3 ± 0.9,63.9 ± 1.7,93.9 ± 3.1,85.3 ± 4.9,71.7 ± 7.9,73.5 ± 2.8,95.8 ± 0.4,94.4 ± 0.1,88.0 ± 8.0,76.0 ± 6.9,68.0 ± 6.9
bread_model,81.4 ± 1.4,96.4 ± 0.4,93.2 ± 0.3,96.4 ± 0.1,57.9 ± 5.1,61.9 ± 2.1,86.9 ± 0.2,82.9 ± 6.5,72.8 ± 4.0,60.5 ± 5.6,85.5 ± 2.6,97.7 ± 0.5,95.5 ± 0.4,62.7 ± 11.5,48.0 ± 8.0,38.7 ± 4.6
brooch_clasp_accessory,98.1 ± 0.3,99.7 ± 0.1,97.4 ± 0.2,97.8 ± 0.0,76.7 ± 0.2,74.1 ± 0.6,92.4 ± 0.2,27.8 ± 4.1,9.9 ± 2.7,3.4 ± 1.1,99.9 ± 0.1,100.0 ± 0.0,99.8 ± 0.3,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0
button_battery_holder,82.4 ± 4.3,97.3 ± 0.8,94.3 ± 0.2,87.5 ± 2.4,33.2 ± 6.1,38.1 ± 5.7,66.7 ± 6.8,82.8 ± 2.8,63.3 ± 8.8,52.6 ± 9.9,85.4 ± 4.8,97.9 ± 0.8,95.1 ± 0.8,73.3 ± 16.2,58.7 ± 18.9,46.7 ± 20.1
button_motor,94.2 ± 2.1,99.2 ± 0.3,96.1 ± 0.7,97.6 ± 0.1,74.4 ± 0.5,73.0 ± 0.3,83.2 ± 0.3,47.7 ± 10.9,28.3 ± 10.7,15.5 ± 6.5,94.3 ± 5.2,99.2 ± 0.7,97.1 ± 2.1,42.7 ± 38.4,29.3 ± 30.3,17.3 ± 19.7
button_switch,89.2 ± 1.2,98.6 ± 0.2,94.2 ± 0.1,99.1 ± 0.1,82.7 ± 0.6,77.1 ± 0.6,81.0 ± 0.9,87.2 ± 3.7,74.4 ± 4.5,50.4 ± 2.4,98.6 ± 0.7,99.8 ± 0.1,98.3 ± 0.5,12.0 ± 8.0,8.0 ± 4.0,2.7 ± 2.3
Mean,83.3 ± 0.3,96.9 ± 0.0,94.4 ± 0.0,91.1 ± 0.1,49.4 ± 0.1,50.0 ± 0.1,74.2 ± 0.1,74.3 ± 0.6,61.8 ± 0.9,48.3 ± 1.1,87.8 ± 0.4,98.0 ± 0.1,96.0 ± 0.1,57.1 ± 1.1,44.9 ± 0.2,33.4 ± 0.7
