Name,"I-AUROC,","I-AP,","I-F1max,","P-AUROC,","P-AP,","P-F1max,","P-AUPRO,","I-Overkill@2,","I-Overkill@5,","I-Overkill@10,","S-AUROC,","S-AP,","S-F1max,","S-Overkill@2,","S-Overkill@5,",S-Overkill@10
accurate_detection_switch,86.5 ± 0.4,98.0 ± 0.1,94.3 ± 0.1,91.7 ± 0.3,59.7 ± 0.4,58.3 ± 0.3,78.9 ± 0.4,83.8 ± 2.0,67.2 ± 2.1,50.8 ± 2.1,91.3 ± 0.8,98.8 ± 0.1,96.1 ± 0.6,54.2 ± 11.0,40.3 ± 8.7,26.4 ± 2.4
aircraft_model_head,96.5 ± 0.2,99.5 ± 0.0,98.0 ± 0.1,97.5 ± 0.0,73.0 ± 0.0,74.4 ± 0.3,87.9 ± 0.1,22.2 ± 2.7,17.1 ± 2.3,12.0 ± 0.9,99.2 ± 0.1,99.9 ± 0.0,98.4 ± 0.1,16.0 ± 4.0,0.0 ± 0.0,0.0 ± 0.0
angled_toggle_switch,88.4 ± 2.9,98.1 ± 0.6,95.1 ± 0.5,87.0 ± 0.2,25.0 ± 0.6,32.0 ± 0.3,61.3 ± 0.3,65.9 ± 9.8,47.6 ± 8.8,33.6 ± 7.0,93.0 ± 3.8,98.9 ± 0.6,96.8 ± 1.2,40.0 ± 21.2,33.3 ± 12.9,22.7 ± 6.1
audio_jack_socket,73.5 ± 1.5,91.9 ± 0.6,91.2 ± 0.2,84.2 ± 0.3,1.6 ± 0.1,3.5 ± 0.1,50.2 ± 3.0,83.2 ± 2.2,74.6 ± 1.6,61.3 ± 3.2,76.7 ± 6.0,96.0 ± 1.2,94.9 ± 0.1,73.3 ± 2.3,64.0 ± 4.0,60.0 ± 10.6
bag_buckle,94.6 ± 0.7,99.3 ± 0.1,96.6 ± 0.2,99.6 ± 0.0,76.8 ± 1.5,73.2 ± 1.3,97.2 ± 0.3,41.9 ± 4.7,26.1 ± 5.7,17.9 ± 2.4,96.9 ± 0.2,99.6 ± 0.0,96.6 ± 0.2,46.7 ± 2.3,25.3 ± 2.3,4.0 ± 0.0
ball_pin,94.7 ± 0.3,99.3 ± 0.1,95.6 ± 0.2,99.2 ± 0.0,69.1 ± 0.1,62.1 ± 0.1,95.4 ± 0.1,61.4 ± 3.0,42.3 ± 3.3,17.5 ± 0.8,99.1 ± 0.2,99.9 ± 0.0,98.3 ± 0.3,12.0 ± 4.0,2.7 ± 2.3,0.0 ± 0.0
balun_transformer,81.3 ± 2.0,96.3 ± 0.4,91.6 ± 0.1,95.9 ± 0.2,72.6 ± 1.0,69.6 ± 0.9,69.6 ± 1.0,92.8 ± 0.7,81.4 ± 5.7,67.1 ± 9.2,87.5 ± 5.0,98.2 ± 0.7,95.7 ± 0.7,61.3 ± 10.1,49.3 ± 19.7,38.7 ± 22.7
battery,70.7 ± 1.6,93.6 ± 0.3,94.0 ± 0.1,88.1 ± 0.2,15.2 ± 0.4,21.5 ± 0.5,57.2 ± 0.2,90.4 ± 2.7,81.1 ± 7.2,69.2 ± 3.6,75.5 ± 1.2,95.1 ± 0.2,94.3 ± 0.3,85.3 ± 6.1,70.7 ± 4.6,62.7 ± 6.1
battery_holder_connector,84.5 ± 2.3,97.5 ± 0.6,94.6 ± 0.2,86.5 ± 0.6,34.8 ± 2.4,34.6 ± 3.1,74.6 ± 1.0,76.2 ± 4.5,57.6 ± 3.6,47.5 ± 2.5,93.0 ± 4.1,99.0 ± 0.7,96.7 ± 0.5,41.3 ± 6.1,32.0 ± 10.6,21.3 ± 10.1
battery_socket_connector,69.5 ± 1.5,93.3 ± 0.2,92.7 ± 0.4,88.6 ± 0.3,45.2 ± 0.9,45.4 ± 1.2,59.8 ± 1.8,88.4 ± 5.9,82.4 ± 5.9,75.0 ± 6.0,86.8 ± 2.0,98.2 ± 0.3,94.6 ± 0.5,77.3 ± 11.5,66.7 ± 16.7,49.3 ± 6.1
bend_connector,86.4 ± 0.9,97.8 ± 0.2,93.5 ± 0.2,91.4 ± 0.1,42.0 ± 0.9,44.2 ± 1.2,68.4 ± 0.2,82.6 ± 3.0,63.9 ± 2.1,45.1 ± 3.2,96.0 ± 1.8,99.4 ± 0.3,97.8 ± 0.5,28.0 ± 10.6,17.3 ± 6.1,8.0 ± 6.9
blade_switch,86.3 ± 0.2,97.5 ± 0.1,95.7 ± 0.4,95.1 ± 0.1,54.5 ± 0.6,55.1 ± 0.6,74.7 ± 0.2,55.5 ± 7.0,39.5 ± 3.0,31.2 ± 1.6,86.0 ± 0.4,97.6 ± 0.1,97.1 ± 0.4,34.7 ± 6.1,30.7 ± 6.1,26.7 ± 4.6
blue_light_switch,70.2 ± 2.8,91.7 ± 0.7,92.7 ± 0.1,84.1 ± 0.2,16.0 ± 0.2,29.3 ± 0.5,65.4 ± 0.3,91.6 ± 1.2,79.5 ± 4.2,65.8 ± 6.7,60.9 ± 0.8,90.8 ± 0.4,94.5 ± 0.2,81.3 ± 6.1,78.7 ± 8.3,66.7 ± 4.6
bluetooth_module,90.7 ± 4.4,98.7 ± 0.7,96.0 ± 0.5,94.0 ± 0.6,65.8 ± 2.5,60.6 ± 2.1,79.2 ± 2.7,55.5 ± 10.3,41.1 ± 9.6,28.3 ± 14.2,93.6 ± 4.3,99.1 ± 0.6,97.2 ± 1.0,38.7 ± 23.4,34.7 ± 23.4,30.7 ± 23.4
boost_converter_module,74.1 ± 2.9,93.9 ± 0.7,91.2 ± 0.1,92.8 ± 0.3,64.1 ± 2.1,60.9 ± 2.3,66.1 ± 1.6,93.4 ± 3.8,86.4 ± 5.9,71.5 ± 5.1,76.7 ± 6.9,96.4 ± 0.9,94.6 ± 0.5,85.3 ± 11.5,72.0 ± 14.4,64.0 ± 18.3
bread_model,83.8 ± 0.4,97.1 ± 0.1,93.3 ± 0.2,96.6 ± 0.1,62.6 ± 2.6,64.7 ± 0.8,87.1 ± 0.2,81.8 ± 0.3,69.1 ± 3.1,56.1 ± 1.7,89.2 ± 0.5,98.4 ± 0.1,95.9 ± 0.2,60.0 ± 6.9,40.0 ± 10.6,28.0 ± 4.0
brooch_clasp_accessory,98.7 ± 0.1,99.8 ± 0.0,97.9 ± 0.2,97.9 ± 0.0,77.2 ± 0.2,75.1 ± 0.5,92.8 ± 0.3,20.0 ± 4.4,3.4 ± 0.4,0.9 ± 0.4,100.0 ± 0.1,100.0 ± 0.0,99.9 ± 0.1,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0
button_battery_holder,84.4 ± 1.5,97.6 ± 0.3,94.5 ± 0.2,89.0 ± 0.4,36.2 ± 1.3,41.0 ± 0.8,70.1 ± 0.6,76.6 ± 3.4,55.7 ± 6.4,44.3 ± 3.9,84.5 ± 4.2,97.8 ± 0.7,94.7 ± 0.4,81.3 ± 8.3,56.0 ± 14.4,48.0 ± 13.9
button_motor,97.1 ± 0.3,99.6 ± 0.0,97.1 ± 0.3,97.7 ± 0.1,74.8 ± 0.3,73.2 ± 0.2,84.0 ± 0.3,35.7 ± 7.2,13.6 ± 4.2,5.9 ± 1.7,98.0 ± 0.4,99.7 ± 0.1,98.9 ± 0.4,9.3 ± 2.3,4.0 ± 0.0,4.0 ± 0.0
button_switch,89.8 ± 0.6,98.7 ± 0.1,94.1 ± 0.0,99.2 ± 0.0,85.0 ± 0.5,79.0 ± 0.7,82.0 ± 0.2,89.1 ± 1.2,75.2 ± 4.0,42.1 ± 3.2,98.8 ± 0.3,99.8 ± 0.1,98.7 ± 0.5,10.7 ± 6.1,5.3 ± 2.3,4.0 ± 0.0
car_door_lock_switch,70.7 ± 0.6,94.9 ± 0.1,94.2 ± 0.1,92.9 ± 0.1,49.4 ± 0.1,50.2 ± 0.1,74.9 ± 0.3,92.8 ± 0.8,87.5 ± 0.5,72.0 ± 2.1,64.3 ± 0.9,93.5 ± 0.2,94.1 ± 0.0,92.0 ± 6.9,81.3 ± 9.2,66.7 ± 2.3
ceramic_fuse,78.8 ± 3.0,96.5 ± 0.5,94.3 ± 0.0,91.2 ± 0.2,28.6 ± 1.8,35.1 ± 2.0,75.3 ± 0.5,91.2 ± 1.6,82.1 ± 5.1,65.9 ± 9.5,91.9 ± 1.3,98.5 ± 0.3,97.3 ± 0.8,37.3 ± 12.9,28.0 ± 4.0,20.0 ± 4.0
ceramic_wave_filter,88.1 ± 1.3,98.2 ± 0.2,95.1 ± 0.3,90.7 ± 0.1,54.5 ± 0.5,58.8 ± 0.5,73.0 ± 0.1,68.0 ± 7.3,58.4 ± 5.6,39.5 ± 6.0,91.9 ± 1.3,98.7 ± 0.2,96.3 ± 0.3,48.0 ± 6.9,29.3 ± 10.1,22.7 ± 6.1
charging_port,86.3 ± 0.4,97.8 ± 0.1,94.7 ± 0.1,88.2 ± 0.9,35.8 ± 2.9,34.9 ± 2.7,74.5 ± 2.0,68.6 ± 2.4,57.8 ± 3.0,41.2 ± 2.4,94.9 ± 0.3,99.3 ± 0.1,96.0 ± 0.6,54.7 ± 12.2,34.7 ± 4.6,20.0 ± 4.0
chip-inductor,83.8 ± 1.8,97.5 ± 0.3,94.5 ± 0.1,87.9 ± 1.4,42.2 ± 1.9,40.5 ± 1.6,76.5 ± 3.4,77.5 ± 4.4,61.9 ± 6.5,44.2 ± 5.0,86.2 ± 1.2,97.9 ± 0.2,95.5 ± 0.1,60.0 ± 6.9,54.7 ± 8.3,36.0 ± 6.9
circuit_breaker,92.1 ± 1.1,98.9 ± 0.2,95.5 ± 0.3,98.2 ± 0.1,73.6 ± 0.6,69.4 ± 0.8,87.9 ± 0.1,59.6 ± 4.3,48.0 ± 5.2,29.7 ± 3.2,99.2 ± 0.6,99.9 ± 0.1,99.1 ± 0.4,5.3 ± 2.3,4.0 ± 4.0,4.0 ± 4.0
circular_aviation_connector,67.0 ± 0.6,88.7 ± 0.3,87.5 ± 0.0,67.8 ± 0.3,12.5 ± 0.6,18.0 ± 0.6,40.7 ± 0.3,97.5 ± 0.8,94.4 ± 1.8,86.4 ± 4.3,90.3 ± 0.7,98.5 ± 0.3,95.8 ± 0.3,58.7 ± 6.1,41.3 ± 9.2,26.7 ± 2.3
common-mode-choke,71.2 ± 1.9,91.1 ± 0.8,91.2 ± 0.3,96.4 ± 0.2,61.4 ± 1.4,59.0 ± 1.2,83.0 ± 0.4,87.5 ± 4.3,75.2 ± 5.6,62.9 ± 3.6,77.7 ± 0.9,96.6 ± 0.3,94.1 ± 0.0,98.7 ± 2.3,81.3 ± 6.1,65.3 ± 2.3
common-mode-filter,92.5 ± 0.9,98.9 ± 0.2,96.0 ± 0.3,93.4 ± 0.1,43.3 ± 0.9,42.8 ± 0.6,76.1 ± 0.2,48.3 ± 4.0,31.6 ± 0.5,21.6 ± 1.8,94.8 ± 1.7,99.3 ± 0.3,97.1 ± 0.6,36.0 ± 13.9,26.7 ± 11.5,21.3 ± 9.2
connector,90.0 ± 0.2,98.5 ± 0.1,94.4 ± 0.2,86.3 ± 0.4,62.0 ± 1.7,57.9 ± 2.5,75.1 ± 1.8,76.9 ± 3.5,56.7 ± 3.1,38.5 ± 1.3,94.8 ± 2.5,99.3 ± 0.4,96.4 ± 0.9,46.7 ± 15.1,33.3 ± 12.9,12.0 ± 4.0
connector_housing-female,95.7 ± 0.5,99.2 ± 0.1,97.3 ± 0.2,87.5 ± 0.3,49.7 ± 1.0,52.8 ± 1.0,82.0 ± 0.3,29.4 ± 4.8,19.6 ± 3.7,11.6 ± 1.2,98.5 ± 0.9,99.8 ± 0.2,98.9 ± 0.1,13.3 ± 6.1,9.3 ± 6.1,8.0 ± 4.0
console_switch,92.2 ± 3.9,98.8 ± 0.6,96.2 ± 0.5,78.8 ± 0.1,26.5 ± 0.9,32.3 ± 0.5,75.2 ± 0.1,49.1 ± 11.2,34.1 ± 12.0,23.7 ± 12.7,95.8 ± 3.4,99.4 ± 0.5,97.4 ± 0.8,29.3 ± 12.9,24.0 ± 10.6,16.0 ± 6.9
crimp_st_cable_mount_box,85.4 ± 2.1,97.5 ± 0.4,93.3 ± 0.1,96.9 ± 0.3,60.9 ± 2.6,61.8 ± 3.5,90.7 ± 1.1,89.4 ± 3.1,65.7 ± 4.1,39.7 ± 4.6,87.2 ± 4.9,98.1 ± 0.7,95.4 ± 0.5,69.3 ± 10.1,53.3 ± 12.2,40.0 ± 20.0
dc_jack,88.1 ± 1.8,97.7 ± 0.3,93.2 ± 0.5,88.4 ± 0.4,50.0 ± 1.3,44.7 ± 1.8,82.3 ± 0.6,74.3 ± 7.3,60.2 ± 8.9,43.6 ± 9.3,96.0 ± 0.5,99.5 ± 0.1,97.0 ± 0.7,41.3 ± 16.2,18.7 ± 2.3,13.3 ± 6.1
dc_power_connector,93.2 ± 0.9,99.0 ± 0.1,96.1 ± 0.1,89.9 ± 0.2,26.8 ± 0.3,30.2 ± 0.3,81.5 ± 0.3,48.8 ± 2.1,33.3 ± 4.5,20.5 ± 3.0,95.6 ± 1.4,99.3 ± 0.2,98.1 ± 0.3,21.3 ± 4.6,17.3 ± 8.3,12.0 ± 8.0
detection_switch,83.0 ± 0.4,96.1 ± 0.1,91.5 ± 0.1,90.7 ± 0.1,45.6 ± 0.4,46.4 ± 0.4,66.0 ± 0.2,85.3 ± 3.1,72.9 ± 2.5,54.5 ± 1.8,94.4 ± 0.5,99.3 ± 0.1,95.7 ± 0.2,65.3 ± 10.1,34.7 ± 2.3,18.7 ± 2.3
duckbill_circuit_breaker,73.0 ± 1.8,94.8 ± 0.3,93.2 ± 0.1,94.1 ± 0.1,21.7 ± 3.3,25.5 ± 1.2,81.4 ± 0.5,98.1 ± 2.1,92.3 ± 2.6,78.4 ± 4.1,74.3 ± 1.8,95.5 ± 0.9,94.1 ± 0.2,90.7 ± 6.1,81.3 ± 12.2,60.0 ± 18.3
earphone_audio_unit,74.8 ± 3.2,95.3 ± 0.6,93.2 ± 0.1,93.1 ± 0.2,43.8 ± 2.8,43.5 ± 2.4,61.8 ± 0.9,91.5 ± 3.8,82.5 ± 6.3,68.8 ± 12.4,83.0 ± 2.4,97.6 ± 0.4,94.6 ± 0.4,78.7 ± 12.2,65.3 ± 2.3,54.7 ± 6.1
effect_transistor,81.5 ± 5.0,95.1 ± 1.7,90.9 ± 0.2,97.8 ± 0.6,76.3 ± 10.0,69.7 ± 9.7,82.5 ± 3.1,83.8 ± 2.7,69.3 ± 6.9,51.7 ± 2.6,85.0 ± 3.7,97.5 ± 0.7,94.6 ± 0.1,81.3 ± 4.6,54.7 ± 4.6,33.3 ± 10.1
electronic_watch_movement,76.8 ± 2.6,96.5 ± 0.6,94.1 ± 0.0,95.6 ± 0.9,50.6 ± 6.5,52.0 ± 5.7,64.9 ± 4.5,93.9 ± 1.7,85.1 ± 3.2,69.6 ± 4.5,79.8 ± 2.7,97.0 ± 0.6,94.1 ± 0.0,94.7 ± 2.3,85.3 ± 2.3,65.3 ± 8.3
ethernet-connector,89.1 ± 5.4,97.2 ± 1.7,94.8 ± 0.8,88.9 ± 0.1,19.6 ± 0.4,22.7 ± 0.3,79.8 ± 0.7,61.4 ± 5.8,35.2 ± 8.9,20.7 ± 11.1,84.6 ± 13.7,96.6 ± 3.2,96.7 ± 2.0,40.0 ± 26.2,37.3 ± 26.6,30.7 ± 24.4
ferrite_bead,81.9 ± 5.9,97.3 ± 1.0,93.7 ± 0.0,98.8 ± 0.1,75.3 ± 0.5,73.5 ± 0.7,86.9 ± 0.2,94.5 ± 3.8,80.6 ± 7.1,61.4 ± 12.7,83.7 ± 8.7,97.7 ± 1.2,94.7 ± 0.4,80.0 ± 10.6,65.3 ± 18.0,57.3 ± 19.7
ffc_connector_plug,88.7 ± 3.4,97.7 ± 0.9,94.1 ± 0.6,96.3 ± 0.7,42.9 ± 9.5,49.0 ± 9.1,66.6 ± 2.6,61.7 ± 9.5,52.1 ± 1.2,45.1 ± 2.9,90.6 ± 13.7,98.7 ± 1.8,97.5 ± 2.9,37.3 ± 51.0,36.0 ± 48.7,36.0 ± 48.7
flow_control_valve,83.3 ± 1.4,96.2 ± 0.3,93.7 ± 0.5,98.8 ± 0.1,50.4 ± 1.4,53.2 ± 1.6,91.9 ± 0.3,72.9 ± 7.1,57.3 ± 5.4,40.5 ± 3.3,74.4 ± 3.1,95.5 ± 0.5,94.8 ± 0.1,73.3 ± 2.3,65.3 ± 6.1,54.7 ± 9.2
flower_copper_shape,93.1 ± 1.0,99.1 ± 0.1,95.1 ± 0.5,95.9 ± 0.0,65.7 ± 0.3,63.1 ± 0.1,84.8 ± 0.3,70.4 ± 5.6,45.3 ± 4.7,24.5 ± 2.8,97.5 ± 1.2,99.7 ± 0.2,97.6 ± 0.4,26.7 ± 8.3,10.7 ± 6.1,5.3 ± 4.6
flower_velvet_fabric,94.7 ± 0.8,99.3 ± 0.1,96.3 ± 0.2,91.2 ± 0.1,71.7 ± 0.0,69.5 ± 0.1,82.3 ± 0.1,49.3 ± 8.0,29.6 ± 3.7,16.0 ± 3.5,95.1 ± 0.7,99.3 ± 0.1,96.9 ± 0.5,38.7 ± 8.3,32.0 ± 6.9,16.0 ± 0.0
fork-crimp-terminal,84.3 ± 0.5,95.0 ± 0.2,93.8 ± 0.5,98.3 ± 0.1,51.7 ± 3.0,49.7 ± 2.0,91.3 ± 0.4,58.3 ± 8.2,49.6 ± 6.6,35.8 ± 4.2,94.0 ± 0.4,98.3 ± 0.2,97.3 ± 0.1,34.7 ± 6.1,13.3 ± 2.3,9.3 ± 2.3
fuse_cover,80.0 ± 2.8,95.8 ± 0.7,92.2 ± 0.1,93.9 ± 0.1,64.5 ± 0.0,62.0 ± 0.5,80.6 ± 0.6,89.3 ± 0.9,76.6 ± 5.5,60.4 ± 1.8,83.0 ± 4.7,97.3 ± 0.7,96.3 ± 0.7,58.0 ± 14.0,50.7 ± 21.9,39.1 ± 23.0
fuse_holder,95.3 ± 1.7,99.4 ± 0.3,97.2 ± 0.4,95.8 ± 0.2,52.5 ± 0.5,53.9 ± 0.3,82.0 ± 0.2,33.9 ± 3.2,24.0 ± 5.2,15.2 ± 4.8,98.3 ± 1.6,99.8 ± 0.2,97.9 ± 1.1,29.3 ± 23.1,5.3 ± 9.2,2.7 ± 4.6
gear,97.9 ± 0.2,99.6 ± 0.0,98.8 ± 0.1,98.8 ± 0.0,80.2 ± 0.2,77.0 ± 0.2,95.1 ± 0.2,7.1 ± 1.6,5.6 ± 1.6,4.5 ± 0.5,100.0 ± 0.0,100.0 ± 0.0,100.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0
Mean,85.3 ± 0.2,97.1 ± 0.0,94.4 ± 0.0,91.7 ± 0.0,50.4 ± 0.4,50.8 ± 0.4,76.8 ± 0.1,70.1 ± 0.9,56.8 ± 0.5,42.8 ± 1.0,89.5 ± 0.2,98.3 ± 0.1,96.5 ± 0.1,49.3 ± 1.3,38.0 ± 0.5,28.6 ± 0.3
